2012,2013,2014,2015,2016,2017,2018,2019
582,241,27,45,65,38,,
11663,10332,8888,7,6952,7053,7713,8322
18037,14403,12268,12625,12003,10642,10233,10399
19007,16673,13621,14258,13581,13270,12070,11090
17328,16519,14789,15625,14599,14410,13399,13581
,,,,,,,
15474,15529,15201,17296,16435,15271,14557,15228
324,98,6,21,21,17,,
7057,7080,5848,1,4351,4359,4485,5077
10477,9834,7795,8363,7428,6199,5628,5802
9659,9561,7407,7435,6824,6120,5490,5274
7863,8297,6656,7105,6121,5280,5114,5454
,,,,,,,
6794,7746,6649,7728,6881,6190,5898,6668
278,70,1,10,5,8,,
6483,6488,5253,,3743,3785,3839,4175
9261,8347,6567,6781,6027,5081,4310,4390
6806,5878,4516,4425,3983,3486,2859,2631
4665,4214,3484,3570,2969,2510,2032,2060
,,,,,,,
3360,3268,2783,3030,2601,2193,1748,1801
,1,,,,,,
105,86,62,,44,31,17,29
185,203,112,104,82,52,38,28
327,429,235,242,153,139,95,36
222,362,178,192,150,91,76,34
,,,,,,,
165,285,160,190,114,82,48,37
14,19,3,2,8,7,,
272,315,384,,398,353,424,609
658,888,835,1108,953,770,983,1023
1896,2559,2077,2149,2044,1845,1891,2044
2331,3049,2366,2596,2262,1983,2296,2650
,,,,,,,
2690,3559,3064,3760,3344,3120,3393,4082
8,4,2,1,1,1,,
123,128,103,1,84,113,114,126
282,273,190,248,212,176,166,192
421,509,434,434,436,415,416,345
366,398,340,413,373,348,384,329
,,,,,,,
297,285,253,339,332,322,265,278
1,,,,,,,
,,2,,,,,
,,,1,,,,
4,1,1,,2,,,
3,,,2,2,,2,1
,,,,,,,
1,2,1,5,13,1,3,4
23,4,,8,7,1,,
74,63,44,,82,77,91,138
91,123,91,121,154,120,131,169
205,185,144,185,206,235,229,218
276,274,288,332,365,348,324,380
,,,,,,,
281,347,388,404,477,472,441,466
37,18,1,1,3,6,,
297,294,412,3,430,382,473,487
430,428,540,588,640,624,635,654
716,638,736,709,733,807,814,839
689,632,812,751,752,847,883,952
,,,,,,,
631,624,760,739,739,809,822,949
,,,,,1,,
1,2,2,,2,1,,2
5,3,11,2,2,1,,1
7,6,6,8,6,11,3,5
8,9,7,4,8,4,4,8
,,,,,,,
7,10,9,5,5,12,6,12
2,1,,,,,,
63,61,37,,16,9,27,38
115,101,87,75,43,33,34,69
270,174,98,134,94,69,57,78
204,146,89,101,65,63,48,95
,,,,,,,
157,102,70,98,80,51,53,82
11,2,,,,,,
50,42,47,,27,27,36,31
44,31,36,24,33,29,27,27
34,22,24,10,32,16,17,9
26,14,11,9,9,10,12,5
,,,,,,,
24,21,15,23,18,12,16,22
24,15,,,,,,
183,189,,,,,,
266,293,,,,,,
405,436,,,,,,
451,463,,,,,,
,,,,,,,
443,491,,,,,,
,,1,1,3,5,,
,,326,3,385,345,410,416
,,406,487,562,561,574,557
,,608,557,601,711,737,747
,,705,637,670,770,819,844
,,666,613,636,734,747,833
185,89,9,12,7,10,,
4037,2721,2285,1,1874,2071,2404,2345
6612,3700,3386,3052,3372,3337,3368,3326
7185,5107,4142,4594,4342,4958,4438,3861
7322,6374,6019,6252,5992,6573,6023,5698
,,,,,,,
7277,6402,6694,7381,7366,6991,6677,6261
28,16,6,6,1,1,,
533,398,901,1,891,952,1171,1110
810,611,1303,1389,1598,1573,1616,1654
1542,1368,2009,2432,2388,2710,2471,2074
2110,2235,3328,3768,3705,4196,3839,3590
,,,,,,,
2433,2511,3959,4626,4998,4730,4487,4179
15,23,2,2,6,4,,
272,238,828,,610,681,696,664
456,325,1246,1048,1159,1090,977,917
799,669,1609,1590,1487,1589,1241,1110
1099,917,2188,1971,1841,1877,1587,1424
,,,,,,,
1221,1041,2301,2191,1866,1737,1608,1429
12,1,,,,3,,
23,15,39,,51,65,96,119
39,24,55,67,83,125,147,163
29,27,86,102,95,147,183,169
38,34,70,97,125,141,143,183
,,,,,,,
31,25,72,122,172,160,163,196
19,1,1,4,,,,
479,264,381,,264,272,297,276
848,312,558,410,407,379,438,382
483,198,327,303,263,341,372,368
243,129,265,229,190,207,288,307
,,,,,,,
146,68,185,201,172,181,221,210
,,,,,,,
7,1,,,,1,2,3
1,1,1,5,1,,,
3,8,,4,2,7,5,6
5,9,10,6,5,7,4,9
,,,,,,,
5,2,9,11,8,12,7,5
,,,,,,,
3,,7,,18,17,23,28
8,4,19,18,24,42,45,45
8,10,13,39,47,67,80,46
15,5,26,34,47,61,89,100
,,,,,,,
9,10,42,67,61,81,85,118
,,,,,2,,
,,116,,40,81,108,141
,,172,102,91,123,138,144
,,78,92,49,86,73,74
,,103,95,72,68,60,71
,,87,96,77,64,75,95
1,,,,,,,
23,13,13,,,2,11,4
74,9,32,13,9,5,7,21
81,21,20,32,11,11,13,14
90,50,29,52,7,16,13,14
,,,,,,,
