연도,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
성별,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M,F,F,F,F,F,F,F,F
연령,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown,u20,u30,u40,u50,u60,u70,o70,unknown
강력범죄살인기수,8,46,79,93,85,24,10,,9,23,28,16,17,6,2,,10,47,52,75,69,31,16,,2,13,13,24,14,6,3,2,14,37,68,100,65,40,18,,16,13,19,27,16,10,4,,6,41,54,85,72,21,21,,6,11,21,21,15,7,8,,7,32,59,87,75,20,17,,4,17,16,21,14,7,3,,13,28,48,65,69,35,14,,7,13,22,12,13,3,2,,5,40,57,71,60,31,19,,8,8,16,15,10,5,5,,8,37,49,49,64,40,18,,7,11,19,15,17,6,4,1
강력범죄살인미수등,18,76,100,193,109,28,17,1,1,8,16,23,13,5,2,,21,70,91,173,149,36,19,,5,13,11,15,8,4,5,,18,48,93,168,132,41,11,1,3,2,18,22,16,2,,,14,64,88,143,153,34,21,,,11,15,25,12,3,2,1,20,56,102,167,137,58,15,,3,14,14,10,12,4,4,,16,79,76,119,139,50,19,,1,11,9,18,14,5,5,,9,52,71,99,125,59,20,,7,16,6,26,14,9,3,,12,50,73,111,129,65,16,,6,11,14,12,16,8,2,
강력범죄강도,991,801,635,416,172,35,10,1,98,45,32,44,30,10,1,1,663,575,537,378,155,33,10,3,114,29,34,24,29,8,1,,460,485,436,304,154,42,10,3,74,23,22,22,30,5,1,7,485,396,418,271,174,32,6,4,115,19,17,36,17,4,5,,391,340,359,251,152,40,9,7,62,20,21,28,18,6,3,9,270,306,309,233,149,37,10,,62,16,24,17,14,7,1,1,263,228,186,188,123,33,6,6,56,19,20,14,15,5,2,1,399,266,198,151,117,36,5,,95,10,14,19,15,4,6,1
강력범죄강간·강제추행,2892,3886,3796,3670,2354,747,294,2,132,66,43,67,49,12,2,,3040,4288,4209,4192,2864,1026,374,15,106,60,43,66,68,13,9,2,2860,4304,4012,4319,3082,1080,472,25,76,54,55,83,67,8,2,0,2563,4511,4292,4411,3339,1303,541,15,65,77,71,75,52,6,6,3,2704,4891,4418,4589,3761,1445,700,16,92,91,76,103,51,20,6,1,2795,5675,4771,4794,4116,1796,742,9,104,125,122,108,94,27,2,0,2722,5672,4466,4620,4139,1793,768,22,119,166,109,143,104,30,10,1,2804,5759,4581,4387,4180,1967,923,27,98,196,138,144,133,67,10,6
강력범죄강간,,,,,,,,,,,,,,,,,1196,1538,1243,932,597,191,61,6,26,7,6,19,24,6,3,1,1167,1497,1106,890,555,152,63,16,28,7,9,11,15,1,,,1048,1526,1222,906,607,181,63,11,14,11,8,15,6,1,2,,1039,1665,1218,927,620,197,91,5,24,14,10,9,5,4,1,,1039,1810,1229,894,617,213,65,4,25,8,16,8,11,4,,,1042,1757,1132,902,665,258,96,6,30,15,15,14,10,3,2,,1023,1877,1227,839,681,287,98,10,8,33,9,15,17,13,,1
강력범죄유사강간,,,,,,,,,,,,,,,,,29,27,25,27,19,6,2,,,1,,,,,,,92,88,66,64,44,22,6,,4,1,1,1,,,,,127,106,95,101,64,22,11,,2,,2,3,2,,,,119,158,87,107,81,30,8,1,,2,1,1,2,1,,,166,168,109,112,77,38,10,,3,4,4,2,,1,,,166,249,127,125,102,37,20,1,10,6,2,2,,1,,,196,242,146,134,91,43,18,,9,5,4,3,3,,,1
강력범죄강제추행,,,,,,,,,,,,,,,,,1191,2289,2613,2994,2101,776,294,7,60,51,35,40,34,5,5,1,1294,2458,2615,3191,2351,860,378,8,37,42,42,69,48,7,,,1223,2734,2852,3311,2588,1063,454,4,40,59,55,55,41,3,4,2,1411,2955,3036,3475,2989,1194,589,8,63,75,63,93,44,15,5,1,1473,3609,3379,3754,3384,1526,655,5,71,111,101,97,83,22,2,,1411,3573,3122,3518,3313,1471,645,15,77,144,91,125,92,25,8,1,1426,3547,3129,3355,3354,1609,797,17,72,156,124,126,112,54,10,4
강력범죄기타강간·강제추행등,,,,,,,,,,,,,,,,,624,434,328,239,147,53,17,2,20,1,2,7,10,2,1,,307,261,225,174,132,46,25,1,7,4,3,2,4,,2,,165,145,123,93,80,37,13,,9,7,6,2,3,2,,1,135,113,77,80,71,24,12,2,5,,2,,,,,,117,88,54,34,38,19,12,,5,2,1,1,,,,,103,93,85,75,59,27,7,,2,1,1,2,2,1,,,159,93,79,59,54,28,10,,9,2,1,,1,,,
