,2012,2013,2014,2015,2016,2017,2018,2019
이욕,19506,16891,13474,12555,12764,10850,6624,6724
생활비마련,4816,5335,3841,3557,3510,3060,2200,2252
유흥비마련,6144,5655,3327,2661,2525,1936,1064,988
도박비마련,42,51,73,141,126,90,62,114
허영사치심,440,260,116,101,93,126,55,42
치부,122,80,44,22,20,26,7,11
기타,7942,5510,6073,6073,6490,5612,3236,3317
사행심,1551,1193,891,788,850,783,681,705
보복,38,53,34,22,129,39,6,12
"신고,고소",20,23,16,2,13,8,1,6
수사협조,,4,1,1,,,1,
증언,1,2,1,1,2,,,
기타,17,24,16,18,114,31,4,6
가정불화,68,81,75,171,259,260,181,223
호기심,9594,9336,8242,6430,8330,8186,2941,3118
유혹,2264,2237,1460,1058,1168,1049,513,459
우발적,27312,24511,21092,18228,19010,19496,13287,13348
현실불만,710,605,589,401,523,420,246,182
부주의,5849,5117,4777,4537,4632,4510,2639,2295
기타,29229,21953,19741,18266,19549,18280,10662,10833
미상,11369,9656,7219,8579,8786,8886,28362,28348
