eventVersion,eventDate,eventTimeonDay,Combined
1.08,2023-07-06,21:04:20,"ssm.amazonaws.com,PutInventory,-,54.147.33.102,aws-sdk-go-v2/1.18.1 os/linux lang/go/1.20.5 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.36.5,InvalidItemContentException,Your request contains contentHash with no content of inventory type Custom:InspectorThirdPartyPackage. The content of the type may never be sent, please resend the item with full content.,,-,-,False,-,AwsApiCall,True,179704931439,Management,i-0effb0751ef6a778f,[{'typeName': 'Custom:InspectorThirdPartyPackage', 'schemaVersion': '1.0', 'captureTime': '2023-07-06T21:04:20Z', 'contentHash': 'd41d8cd98f00b204e9800998ecf8427e'}],-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:04:20,"ssm.amazonaws.com,PutInventory,-,54.147.33.102,aws-sdk-go-v2/1.18.1 os/linux lang/go/1.20.5 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.36.5,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,i-0effb0751ef6a778f,[{'typeName': 'Custom:InspectorThirdPartyPackage', 'schemaVersion': '1.0', 'captureTime': '2023-07-06T21:04:20Z', 'contentHash': 'd41d8cd98f00b204e9800998ecf8427e'}],-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:04:20,"ssm.amazonaws.com,PutInventory,-,54.147.33.102,aws-sdk-go-v2/1.18.1 os/linux lang/go/1.20.5 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.36.5,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,i-0effb0751ef6a778f,[{'typeName': 'Custom:InspectorMetricDataPackageScanner', 'schemaVersion': '1.2', 'captureTime': '2023-07-06T21:04:20Z'}],-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:03:24,"ssm.amazonaws.com,PutConfigurePackageResult,-,54.147.33.102,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/3.1.1732.0,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,AmazonInspector2-InspectorSsmPluginLinux,1.0.108.0.20230705135118,Install,0.0,10456.0,i-0effb0751ef6a778f,t3.micro,2.0,amazon,us-east-1,us-east-1a,x86_64,[{'action': '> download manifest', 'timing': 0, 'result': 0}, {'action': '< download manifest', 'timing': 8142, 'result': 0}, {'action': '> prepare Install', 'timing': 9272, 'result': 0}, {'action': '> determine update type', 'timing': 9272, 'result': 0}, {'action': '< determine update type', 'timing': 9272, 'result': 0}, {'action': '> determine version to install', 'timing': 9272, 'result': 0}, {'action': '< determine version to install', 'timing': 9272, 'result': 0}, {'action': '> ensure package is locally available', 'timing': 9272, 'result': 0}, {'action': '> ensure package is available locally', 'timing': 9272, 'result': 0}, {'action': '> Validate Package', 'timing': 9272, 'result': 0}, {'action': '> Validate Package', 'timing': 9272, 'result': 0}, {'action': '< Validate Package', 'timing': 9272, 'result': 0}, {'action': '< ensure package is available locally', 'timing': 9273, 'result': 0}, {'action': '< Validate Package', 'timing': 9273, 'result': 0}, {'action': '> download artifact', 'timing': 9273, 'result': 0}, {'action': '> download artifact', 'timing': 9273, 'result': 0}, {'action': '< download artifact', 'timing': 9506, 'result': 0}, {'action': '< download artifact', 'timing': 9541, 'result': 0}, {'action': '> Validate Package', 'timing': 9542, 'result': 0}, {'action': '> Validate Package', 'timing': 9542, 'result': 0}, {'action': '< Validate Package', 'timing': 9542, 'result': 0}, {'action': '> isPackageSupported', 'timing': 9542, 'result': 0}, {'action': '< isPackageSupported', 'timing': 9542, 'result': 0}, {'action': '< Validate Package', 'timing': 9542, 'result': 0}, {'action': '< ensure package is locally available', 'timing': 9542, 'result': 0}, {'action': '> ensure old package is locally available', 'timing': 9542, 'result': 0}, {'action': '< ensure old package is locally available', 'timing': 9542, 'result': 0}, {'action': '< prepare Install', 'timing': 9542, 'result': 0}, {'action': '> check if already installed', 'timing': 9542, 'result': 1}, {'action': '< check if already installed', 'timing': 9542, 'result': 1}, {'action': '> execute configure - state: None', 'timing': 9542, 'result': 0}, {'action': '> install AmazonInspector2-InspectorSsmPluginLinux/1.0.108.0.20230705135118. rollback: false; in-place update: false', 'timing': 9542, 'result': 0}, {'action': '> set install state install AmazonInspector2-InspectorSsmPluginLinux/1.0.108.0.20230705135118 - state: Installing', 'timing': 9542, 'result': 0}, {'action': '< set install state install AmazonInspector2-InspectorSsmPluginLinux/1.0.108.0.20230705135118 - state: Installing', 'timing': 9542, 'result': 0}, {'action': '> execute action: install', 'timing': 9542, 'result': 0}, {'action': '< execute action: install', 'timing': 10454, 'result': 0}, {'action': '> validate AmazonInspector2-InspectorSsmPluginLinux/1.0.108.0.20230705135118 - rollback: false', 'timing': 10454, 'result': 0}, {'action': '> execute action: validate', 'timing': 10454, 'result': 0}, {'action': '< execute action: validate', 'timing': 10454, 'result': 0}, {'action': '> set install state install AmazonInspector2-InspectorSsmPluginLinux/1.0.108.0.20230705135118 - state: Installed', 'timing': 10454, 'result': 0}, {'action': '< set install state install AmazonInspector2-InspectorSsmPluginLinux/1.0.108.0.20230705135118 - state: Installed', 'timing': 10456, 'result': 0}, {'action': '< install AmazonInspector2-InspectorSsmPluginLinux/1.0.108.0.20230705135118. rollback: false; in-place update: false', 'timing': 10456, 'result': 0}, {'action': '< validate AmazonInspector2-InspectorSsmPluginLinux/1.0.108.0.20230705135118 - rollback: false', 'timing': 10456, 'result': 0}, {'action': '< execute configure - state: None', 'timing': 10456, 'result': 0}],-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:03:22,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,54.147.33.102,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,i-0effb0751ef6a778f,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jul 6, 2023, 9:03:22 PM,Success,1 out of 1 plugin processed, 1 success, 0 failed, 0 timedout, 0 skipped. ,-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:03:22,"ssm.amazonaws.com,PutComplianceItems,-,54.147.33.102,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,[{'id': '6fbafe6c-bdab-4199-ab45-3bfe94fa74d7', 'title': '', 'severity': 'UNSPECIFIED', 'status': 'COMPLIANT', 'details': {'DocumentVersion': '1', 'DocumentName': 'AWS-GatherSoftwareInventory'}}],i-0effb0751ef6a778f,ManagedInstance,Association,Jul 6, 2023, 9:03:22 PM,D8EsSxSFADHgWQJcUwe9Vw==,-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:03:22,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,54.147.33.102,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,i-0effb0751ef6a778f,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jul 6, 2023, 9:03:22 PM,InProgress,1 out of 1 plugin processed, 1 success, 0 failed, 0 timedout, 0 skipped. ,-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:03:22,"ssm.amazonaws.com,PutInventory,-,54.147.33.102,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,i-0effb0751ef6a778f,[{'typeName': 'AWS:Application', 'schemaVersion': '1.1', 'captureTime': '2023-07-06T21:03:09Z', 'contentHash': 'M1LVyOGk7deedu/aVytRVg=='}, {'typeName': 'AWS:AWSComponent', 'schemaVersion': '1.0', 'captureTime': '2023-07-06T21:03:10Z', 'contentHash': 'DLq350DMx3pp69NF6sJlfg=='}, {'typeName': 'AWS:Network', 'schemaVersion': '1.0', 'captureTime': '2023-07-06T21:03:10Z', 'contentHash': 'SLw+Qkdzid/k1Ih/0M1dPA=='}, {'typeName': 'AWS:BillingInfo', 'schemaVersion': '1.0', 'captureTime': '2023-07-06T21:03:10Z', 'contentHash': 'N6YlnMDB2uKZp4Zkid/wvQ=='}, {'typeName': 'AWS:InstanceDetailedInformation', 'schemaVersion': '1.0', 'captureTime': '2023-07-06T21:03:10Z', 'contentHash': 'omMpn3JVX/I6oe7BzY9EFA=='}],-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:03:09,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,54.147.33.102,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,i-0effb0751ef6a778f,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jul 6, 2023, 9:03:09 PM,InProgress,Executing association,-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-06,21:03:09,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,54.147.33.102,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,nan,nan,,-,-,False,-,AwsApiCall,True,179704931439,Management,i-0effb0751ef6a778f,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jul 6, 2023, 9:03:09 PM,Pending,Association is pending,-,nan,AssumedRole,AROASTVZ7URXYDYWOAO7D:i-0effb0751ef6a778f,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0effb0751ef6a778f,179704931439,ASIASTVZ7URX63TVXRPQ,Role,AROASTVZ7URXYDYWOAO7D,arn:aws:iam::179704931439:role/stratus-red-team-ec2-steal-credentials-role,179704931439.0,stratus-red-team-ec2-steal-credentials-role,2023-07-06T21:01:20Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
