eventVersion,eventDate,eventTimeonDay,Combined
1.08,2023-07-05,20:43:10,"ssm.amazonaws.com,UpdateInstanceInformation,-,52.2.208.217,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,3.1.1732.0,Active,Linux,Amazon Linux,2.0,10.0.1.10,ip-10-0-1-10.ec2.internal,amazon-ssm-agent,-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:38:10,"ssm.amazonaws.com,UpdateInstanceInformation,-,52.2.208.217,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,3.1.1732.0,Active,Linux,Amazon Linux,2.0,10.0.1.10,ip-10-0-1-10.ec2.internal,amazon-ssm-agent,-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:37:17,"ssm.amazonaws.com,PutInventory,-,52.2.208.217,aws-sdk-go-v2/1.18.1 os/linux lang/go/1.20.5 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.36.5,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,[{'typeName': 'Custom:InspectorMetricDataPackageScanner', 'schemaVersion': '1.2', 'captureTime': '2023-07-05T20:37:17Z'}],-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:37:17,"ssm.amazonaws.com,PutInventory,-,52.2.208.217,aws-sdk-go-v2/1.18.1 os/linux lang/go/1.20.5 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.36.5,,-,-,False,AwsApiCall,True,179704931439,Management,-,InvalidItemContentException,Your request contains contentHash with no content of inventory type Custom:InspectorThirdPartyPackage. The content of the type may never be sent, please resend the item with full content.,i-0c3fb82c87004657e,[{'typeName': 'Custom:InspectorThirdPartyPackage', 'schemaVersion': '1.0', 'captureTime': '2023-07-05T20:37:17Z', 'contentHash': 'd41d8cd98f00b204e9800998ecf8427e'}],-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:37:17,"ssm.amazonaws.com,PutInventory,-,52.2.208.217,aws-sdk-go-v2/1.18.1 os/linux lang/go/1.20.5 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.36.5,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,[{'typeName': 'Custom:InspectorThirdPartyPackage', 'schemaVersion': '1.0', 'captureTime': '2023-07-05T20:37:17Z', 'contentHash': 'd41d8cd98f00b204e9800998ecf8427e'}],-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:36:41,"ssm.amazonaws.com,PutInventory,-,52.2.208.217,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,[{'typeName': 'AWS:Application', 'schemaVersion': '1.1', 'captureTime': '2023-07-05T20:36:20Z', 'contentHash': 'd6ZTM4jNWsyB9aKio6SP5Q=='}, {'typeName': 'AWS:AWSComponent', 'schemaVersion': '1.0', 'captureTime': '2023-07-05T20:36:20Z', 'contentHash': 'DLq350DMx3pp69NF6sJlfg=='}, {'typeName': 'AWS:Network', 'schemaVersion': '1.0', 'captureTime': '2023-07-05T20:36:20Z', 'contentHash': '60tk8dvEL5puu/59WiuBzw=='}, {'typeName': 'AWS:BillingInfo', 'schemaVersion': '1.0', 'captureTime': '2023-07-05T20:36:20Z', 'contentHash': 'N6YlnMDB2uKZp4Zkid/wvQ=='}, {'typeName': 'AWS:InstanceDetailedInformation', 'schemaVersion': '1.0', 'captureTime': '2023-07-05T20:36:20Z', 'contentHash': 'omMpn3JVX/I6oe7BzY9EFA=='}],-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:36:41,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,52.2.208.217,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jul 5, 2023, 8:36:41 PM,InProgress,1 out of 1 plugin processed, 1 success, 0 failed, 0 timedout, 0 skipped. ,-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:36:41,"ssm.amazonaws.com,PutComplianceItems,-,52.2.208.217,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,[{'id': '6fbafe6c-bdab-4199-ab45-3bfe94fa74d7', 'title': '', 'severity': 'UNSPECIFIED', 'status': 'COMPLIANT', 'details': {'DocumentVersion': '1', 'DocumentName': 'AWS-GatherSoftwareInventory'}}],i-0c3fb82c87004657e,ManagedInstance,Association,Jul 5, 2023, 8:36:41 PM,dxa5RZkfmnY/pIXjpsqPMQ==,-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:36:41,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,52.2.208.217,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jul 5, 2023, 8:36:41 PM,Success,1 out of 1 plugin processed, 1 success, 0 failed, 0 timedout, 0 skipped. ,-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:36:20,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,52.2.208.217,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jul 5, 2023, 8:36:20 PM,InProgress,Executing association,-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-07-05,20:36:20,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,52.2.208.217,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-0c3fb82c87004657e,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jul 5, 2023, 8:36:20 PM,Pending,Association is pending,-,nan,AssumedRole,AROASTVZ7URXWCFZL3AIX:i-0c3fb82c87004657e,arn:aws:sts::179704931439:assumed-role/stratus-red-team-ec2-enumerate-role/i-0c3fb82c87004657e,179704931439,ASIASTVZ7URX24EDPXDG,Role,AROASTVZ7URXWCFZL3AIX,arn:aws:iam::179704931439:role/stratus-red-team-ec2-enumerate-role,179704931439.0,stratus-red-team-ec2-enumerate-role,2023-07-05T20:34:21Z,False,2.0,-,,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
