eventVersion,eventDate,eventTimeonDay,Combined
1.08,2023-07-10,21:21:16,"ec2-instance-connect.amazonaws.com,SendSSHPublicKey,-,198.102.159.122,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36,-,-,False,AwsApiCall,True,179704931439,Management,True,nan,nan,11973100-fad1-4547-9c8a-d0ed2ba1d62f,True,-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,ASIASTVZ7URX6DSKSP4D,mprerana,2023-07-10T20:58:37Z,False,-,i-0d195e921bc4399c0,ec2-user,ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAINLy4AGA80LGbFg2+7vrvFZEzCqz6uhZi/385sbRwbDG
,TLSv1.3,TLS_AES_128_GCM_SHA256,ec2-instance-connect.us-east-1.amazonaws.com"
1.08,2023-07-06,21:02:41,"ec2.amazonaws.com,CreateRoute,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,nan,nan,cdb76e47-b06b-4e22-bbb7-346e18fd7fef,True,-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,rtb-04267d21463b7eb92,0.0.0.0/0,nat-0fc458eb056db18e5,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-07-06,21:01:19,"ec2.amazonaws.com,RunInstances,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,nan,nan,d4178943-9096-4b09-b642-1b9e616ee91f,r-0f8ce69e73a441f6f,179704931439.0,[{'instanceId': 'i-0effb0751ef6a778f', 'imageId': 'ami-029eb80bc237bec6f', 'currentInstanceBootMode': 'legacy-bios', 'instanceState': {'code': 0, 'name': 'pending'}, 'privateDnsName': 'ip-10-0-1-10.ec2.internal', 'amiLaunchIndex': 0, 'productCodes': {}, 'instanceType': 't3.micro', 'launchTime': 1688677279000, 'placement': {'availabilityZone': 'us-east-1a', 'tenancy': 'default'}, 'monitoring': {'state': 'disabled'}, 'subnetId': 'subnet-04bda1b4a4394314d', 'vpcId': 'vpc-0cf8bca1a195c29b3', 'privateIpAddress': '10.0.1.10', 'stateReason': {'code': 'pending', 'message': 'pending'}, 'architecture': 'x86_64', 'rootDeviceType': 'ebs', 'rootDeviceName': '/dev/xvda', 'blockDeviceMapping': {}, 'virtualizationType': 'hvm', 'hypervisor': 'xen', 'tagSet': {'items': [{'key': 'StratusRedTeam', 'value': 'true'}]}, 'clientToken': 'A90FD2D0-63F9-4FE2-ABC3-4A927EDA9EBD', 'groupSet': {'items': [{'groupId': 'sg-056cb266e40c80cd7'}]}, 'sourceDestCheck': True, 'networkInterfaceSet': {'items': [{'networkInterfaceId': 'eni-0a3e742c6cd83a5a7', 'subnetId': 'subnet-04bda1b4a4394314d', 'vpcId': 'vpc-0cf8bca1a195c29b3', 'ownerId': '179704931439', 'status': 'in-use', 'macAddress': '0e:f9:61:95:af:25', 'privateIpAddress': '10.0.1.10', 'sourceDestCheck': True, 'interfaceType': 'interface', 'groupSet': {'items': [{'groupId': 'sg-056cb266e40c80cd7'}]}, 'attachment': {'attachmentId': 'eni-attach-09021f87647d98b2d', 'deviceIndex': 0, 'networkCardIndex': 0, 'status': 'attaching', 'attachTime': 1688677279000, 'deleteOnTermination': False}, 'privateIpAddressesSet': {'item': [{'privateIpAddress': '10.0.1.10', 'primary': True}]}, 'ipv6AddressesSet': {}, 'tagSet': {}}]}, 'iamInstanceProfile': {'arn': 'arn:aws:iam::179704931439:instance-profile/stratus-red-team-ec2-steal-credentials-instance', 'id': 'AIPASTVZ7URX6K3UZFKFO'}, 'ebsOptimized': False, 'enaSupport': True, 'cpuOptions': {'coreCount': 1, 'threadsPerCore': 2}, 'capacityReservationSpecification': {'capacityReservationPreference': 'open'}, 'hibernationOptions': {'configured': False}, 'enclaveOptions': {'enabled': False}, 'metadataOptions': {'state': 'pending', 'httpTokens': 'optional', 'httpPutResponseHopLimit': 1, 'httpEndpoint': 'enabled', 'httpProtocolIpv4': 'enabled', 'httpProtocolIpv6': 'disabled', 'instanceMetadataTags': 'disabled'}, 'maintenanceOptions': {'autoRecovery': 'default'}, 'privateDnsNameOptions': {'hostnameType': 'ip-name', 'enableResourceNameDnsARecord': False, 'enableResourceNameDnsAAAARecord': False}}],-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,[{'imageId': 'ami-029eb80bc237bec6f', 'minCount': 1, 'maxCount': 1}],t3.micro,False,False,False,A90FD2D0-63F9-4FE2-ABC3-4A927EDA9EBD,[{'networkInterfaceId': 'eni-0a3e742c6cd83a5a7', 'deviceIndex': 0, 'deleteOnTermination': False}],stratus-red-team-ec2-steal-credentials-instance,False,[{'resourceType': 'instance', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}]}],unlimited,False,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-07-06,21:01:16,"ec2.amazonaws.com,RunInstances,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,Client.InvalidParameterValue,Value (stratus-red-team-ec2-steal-credentials-instance) for parameter iamInstanceProfile.name is invalid. Invalid IAM Instance Profile name,,-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,[{'imageId': 'ami-029eb80bc237bec6f', 'minCount': 1, 'maxCount': 1}],t3.micro,False,False,False,69198E0C-D6C8-4318-8354-82929D4FB011,[{'networkInterfaceId': 'eni-0a3e742c6cd83a5a7', 'deviceIndex': 0, 'deleteOnTermination': False}],stratus-red-team-ec2-steal-credentials-instance,False,[{'resourceType': 'instance', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}]}],unlimited,False,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-07-06,21:01:15,"ec2.amazonaws.com,RunInstances,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,Client.InvalidParameterValue,Value (stratus-red-team-ec2-steal-credentials-instance) for parameter iamInstanceProfile.name is invalid. Invalid IAM Instance Profile name,,-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,[{'imageId': 'ami-029eb80bc237bec6f', 'minCount': 1, 'maxCount': 1}],t3.micro,False,False,False,152DEDE7-4612-42D0-9A12-BA929E5662BA,[{'networkInterfaceId': 'eni-0a3e742c6cd83a5a7', 'deviceIndex': 0, 'deleteOnTermination': False}],stratus-red-team-ec2-steal-credentials-instance,False,[{'resourceType': 'instance', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}]}],unlimited,False,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-07-06,21:01:13,"ec2.amazonaws.com,AssociateRouteTable,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,nan,nan,9ee1721c-6e2e-418c-926c-d6069c1581ac,rtbassoc-044e70defaad393ed,associated,-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,rtb-04267d21463b7eb92,subnet-04bda1b4a4394314d,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-07-06,21:01:13,"ec2.amazonaws.com,CreateRoute,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,nan,nan,22f7f7c0-86db-48e0-a6b4-f1650f43b1a8,True,-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,rtb-0c44012438baad38e,0.0.0.0/0,igw-0c10d15c18856a0b7,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-07-06,21:01:13,"ec2.amazonaws.com,CreateNetworkInterface,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,nan,nan,88266ea7-f4ce-44a4-ac70-5615a108c515,eni-0a3e742c6cd83a5a7,subnet-04bda1b4a4394314d,vpc-0cf8bca1a195c29b3,us-east-1a,179704931439.0,AIDASTVZ7URXQQI3FNCKT,False,pending,0e:f9:61:95:af:25,10.0.1.10,True,interface,[{'groupId': 'sg-056cb266e40c80cd7', 'groupName': 'default'}],[{'privateIpAddress': '10.0.1.10', 'primary': True}],[{'key': 'StratusRedTeam', 'value': 'true'}],-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,1CFADAC5-25D8-45D9-83E0-97C8631A6657,[{'resourceType': 'network-interface', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}]}],subnet-04bda1b4a4394314d,[{'privateIpAddress': '10.0.1.10', 'primary': True}],TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-07-06,21:01:13,"ec2.amazonaws.com,AssociateRouteTable,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,nan,nan,8dd43245-6159-4bad-89d6-3d50dc549f4c,rtbassoc-0861e7206d2776852,associated,-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,rtb-0c44012438baad38e,subnet-047ea9373e751d62c,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-07-06,21:01:13,"ec2.amazonaws.com,CreateNatGateway,-,198.102.159.146,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_5539f2e5-5c36-4801-83ed-3a30be7ffc38 HashiCorp-terraform-exec/0.17.3,-,-,False,AwsApiCall,True,179704931439,Management,nan,nan,nan,http://ec2.amazonaws.com/doc/2016-11-15/,public,subnet-047ea9373e751d62c,[{'value': True, 'key': 'StratusRedTeam'}, {'value': 'stratus-red-team-ec2-steal-credentials-vpc-us-east-1a', 'key': 'Name'}],True,eipalloc-099557cc4a15b8047,associating,2023-07-06T21:01:13.000Z,vpc-0cf8bca1a195c29b3,nat-0fc458eb056db18e5,pending,fc081ad8-42bc-49e3-946b-b25a06c8fd45,35D7740D-7C98-4747-81D6-F348BF368851,-,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,public,eipalloc-099557cc4a15b8047,subnet-047ea9373e751d62c,35D7740D-7C98-4747-81D6-F348BF368851,natgateway,1.0,[{'Value': True, 'tag': 1, 'Key': 'StratusRedTeam'}, {'Value': 'stratus-red-team-ec2-steal-credentials-vpc-us-east-1a', 'tag': 2, 'Key': 'Name'}],TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
