eventVersion,eventDate,eventTimeonDay,Combined
1.08,2023-06-12,20:55:15,"ssm.amazonaws.com,UpdateInstanceInformation,-,34.194.173.106,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,3.1.1732.0,Active,Linux,Amazon Linux,2.0,10.0.1.10,ip-10-0-1-10.ec2.internal,amazon-ssm-agent,-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX3FFV27V7,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:52:06Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:52:42,"ssm.amazonaws.com,UpdateInstanceInformation,-,34.194.173.106,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,3.1.1732.0,Linux,amazon-ssm-agent,-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX3FFV27V7,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:52:06Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:52:42,"ssm.amazonaws.com,UpdateInstanceInformation,-,34.194.173.106,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,3.1.1732.0,Active,Linux,Amazon Linux,2.0,10.0.1.10,ip-10-0-1-10.ec2.internal,amazon-ssm-agent,-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX3FFV27V7,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:52:06Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:52:04,"ec2.amazonaws.com,StartInstances,-,198.102.159.148,stratus-red-team_e0eea547-1397-448b-b99c-2f68082a6677,ec45aa8c-dc6b-4835-99c9-2a26038e97cc,[{'instanceId': 'i-00977a617e088b5d6', 'currentState': {'code': 0, 'name': 'pending'}, 'previousState': {'code': 80, 'name': 'stopped'}}],-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,[{'instanceId': 'i-00977a617e088b5d6'}],-,nan,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-12,20:52:03,"ec2.amazonaws.com,ModifyInstanceAttribute,-,198.102.159.148,stratus-red-team_e0eea547-1397-448b-b99c-2f68082a6677,ba56559f-595f-48d1-a0ca-f43ef2dfd9ce,True,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,<sensitiveDataRemoved>,-,nan,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-12,20:51:25,"ec2.amazonaws.com,StopInstances,-,198.102.159.148,stratus-red-team_e0eea547-1397-448b-b99c-2f68082a6677,56d17e84-aa12-40db-862a-5b8c3dd2e94b,[{'instanceId': 'i-00977a617e088b5d6', 'currentState': {'code': 64, 'name': 'stopping'}, 'previousState': {'code': 16, 'name': 'running'}}],-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,[{'instanceId': 'i-00977a617e088b5d6'}],True,-,nan,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-12,20:51:14,"ssm.amazonaws.com,PutInventory,-,34.194.173.106,aws-sdk-go-v2/1.17.5 os/linux lang/go/1.20.4 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.35.5,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,[{'typeName': 'Custom:InspectorThirdPartyPackage', 'schemaVersion': '1.0', 'captureTime': '2023-06-12T20:51:14Z', 'contentHash': 'd41d8cd98f00b204e9800998ecf8427e'}],-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX45I7LRM2,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:47:46Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:51:14,"ssm.amazonaws.com,PutInventory,-,34.194.173.106,aws-sdk-go-v2/1.17.5 os/linux lang/go/1.20.4 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.35.5,,-,-,False,AwsApiCall,True,179704931439,Management,-,InvalidItemContentException,Your request contains contentHash with no content of inventory type Custom:InspectorThirdPartyPackage. The content of the type may never be sent, please resend the item with full content.,i-00977a617e088b5d6,[{'typeName': 'Custom:InspectorThirdPartyPackage', 'schemaVersion': '1.0', 'captureTime': '2023-06-12T20:51:14Z', 'contentHash': 'd41d8cd98f00b204e9800998ecf8427e'}],-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX45I7LRM2,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:47:46Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:51:14,"ssm.amazonaws.com,PutInventory,-,34.194.173.106,aws-sdk-go-v2/1.17.5 os/linux lang/go/1.20.4 md/GOOS/linux md/GOARCH/amd64 api/ssm/1.35.5,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,[{'typeName': 'Custom:InspectorMetricDataPackageScanner', 'schemaVersion': '1.2', 'captureTime': '2023-06-12T20:51:14Z'}],-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX45I7LRM2,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:47:46Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:50:31,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,34.194.173.106,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jun 12, 2023, 8:50:31 PM,Success,1 out of 1 plugin processed, 1 success, 0 failed, 0 timedout, 0 skipped. ,-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX45I7LRM2,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:47:46Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:50:31,"ssm.amazonaws.com,PutComplianceItems,-,34.194.173.106,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,[{'id': '6fbafe6c-bdab-4199-ab45-3bfe94fa74d7', 'title': '', 'severity': 'UNSPECIFIED', 'status': 'COMPLIANT', 'details': {'DocumentVersion': '1', 'DocumentName': 'AWS-GatherSoftwareInventory'}}],i-00977a617e088b5d6,ManagedInstance,Association,Jun 12, 2023, 8:50:31 PM,doAzaAMP1lfIONAf7c5IUg==,-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX45I7LRM2,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:47:46Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:50:31,"ssm.amazonaws.com,PutInventory,-,34.194.173.106,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,[{'typeName': 'AWS:Application', 'schemaVersion': '1.1', 'captureTime': '2023-06-12T20:50:07Z', 'contentHash': 'Pi5Oyfcl2gH6zJvo4ac2JQ=='}, {'typeName': 'AWS:AWSComponent', 'schemaVersion': '1.0', 'captureTime': '2023-06-12T20:50:08Z', 'contentHash': 'xCzwVFNdND3Q44sr/ir8uA=='}, {'typeName': 'AWS:Network', 'schemaVersion': '1.0', 'captureTime': '2023-06-12T20:50:08Z', 'contentHash': 'ikKJPXARz6AGgWRkSL8h/A=='}, {'typeName': 'AWS:BillingInfo', 'schemaVersion': '1.0', 'captureTime': '2023-06-12T20:50:08Z', 'contentHash': 'N6YlnMDB2uKZp4Zkid/wvQ=='}, {'typeName': 'AWS:InstanceDetailedInformation', 'schemaVersion': '1.0', 'captureTime': '2023-06-12T20:50:08Z', 'contentHash': 'AJFaNUvXM2iVlcsAD/jOPw=='}],-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX45I7LRM2,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:47:46Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-12,20:50:31,"ssm.amazonaws.com,UpdateInstanceAssociationStatus,-,34.194.173.106,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,,-,-,False,AwsApiCall,True,179704931439,Management,-,nan,nan,i-00977a617e088b5d6,6fbafe6c-bdab-4199-ab45-3bfe94fa74d7,Jun 12, 2023, 8:50:31 PM,InProgress,1 out of 1 plugin processed, 1 success, 0 failed, 0 timedout, 0 skipped. ,-,nan,AssumedRole,AROASTVZ7URXQJSHCZ55Y:i-00977a617e088b5d6,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-00977a617e088b5d6,179704931439,ASIASTVZ7URX45I7LRM2,Role,AROASTVZ7URXQJSHCZ55Y,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2023-06-12T20:47:46Z,False,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
