eventVersion,eventDate,eventTimeonDay,Combined
1.08,2023-06-16,16:18:06,"ec2.amazonaws.com,ModifyInstanceAttribute,-,24.253.242.77,aws-cli/2.11.12 Python/3.11.2 Windows/10 exe/AMD64 prompt/off command/ec2.modify-instance-attribute,Client.InvalidGroup.NotFound,You have specified two resources that belong to different networks.,,-,-,False,AwsApiCall,True,179704931439,Management,nan,i-067e6a2bdaa30bbb3,[{'groupId': 'sg-0f42e42fa10c47744'}],-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:16:19,"ec2.amazonaws.com,StopInstances,-,24.253.242.77,AWS Internal,nan,nan,da88d804-026d-4daa-84dd-8b0daa46ddf6,[{'instanceId': 'i-067e6a2bdaa30bbb3', 'currentState': {'code': 64, 'name': 'stopping'}, 'previousState': {'code': 16, 'name': 'running'}}],-,-,False,AwsApiCall,True,179704931439,Management,True,[{'instanceId': 'i-067e6a2bdaa30bbb3'}],False,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,ASIASTVZ7URX5O3PDC42,mprerana,2023-06-16T16:07:05Z,False,-,"
1.08,2023-06-16,16:16:18,"ssm.amazonaws.com,UpdateInstanceInformation,-,44.212.240.241,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,nan,nan,,-,-,False,AwsApiCall,True,179704931439,Management,nan,i-067e6a2bdaa30bbb3,3.1.1732.0,Linux,amazon-ssm-agent,-,nan,-,AssumedRole,AROASTVZ7URX6PS4FZ4IB:i-067e6a2bdaa30bbb3,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-067e6a2bdaa30bbb3,179704931439,ASIASTVZ7URX7VXK27Z6,2023-06-16T16:14:21Z,False,Role,AROASTVZ7URX6PS4FZ4IB,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-16,16:16:18,"ssm.amazonaws.com,UpdateInstanceInformation,-,44.212.240.241,aws-sdk-go/1.41.4 (go1.18.3; linux; amd64) amazon-ssm-agent/,nan,nan,,-,-,False,AwsApiCall,True,179704931439,Management,nan,i-067e6a2bdaa30bbb3,3.1.1732.0,Linux,amazon-ssm-agent,Active,Amazon Linux,2.0,10.0.1.10,ip-10-0-1-10.ec2.internal,-,nan,-,AssumedRole,AROASTVZ7URX6PS4FZ4IB:i-067e6a2bdaa30bbb3,arn:aws:sts::179704931439:assumed-role/stratus-red-team-usr-data-role/i-067e6a2bdaa30bbb3,179704931439,ASIASTVZ7URX7VXK27Z6,2023-06-16T16:14:21Z,False,Role,AROASTVZ7URX6PS4FZ4IB,arn:aws:iam::179704931439:role/stratus-red-team-usr-data-role,179704931439.0,stratus-red-team-usr-data-role,2.0,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ssm.us-east-1.amazonaws.com"
1.08,2023-06-16,16:15:41,"ec2.amazonaws.com,CreateRoute,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,e46223ec-d2a9-47db-9a7e-e9a1411fb3d0,True,-,-,False,AwsApiCall,True,179704931439,Management,nan,rtb-021734839d55b6d28,0.0.0.0/0,nat-078ead23cac0f405a,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:22,"ec2.amazonaws.com,SharedSnapshotVolumeCreated,-,ec2.amazonaws.com,ec2.amazonaws.com,nan,nan,,-,-,False,AwsServiceEvent,True,179704931439,Management,nan,,-,snap-003c7f32d3c4cfc26,-,179704931439,-,"
1.08,2023-06-16,16:14:20,"ec2.amazonaws.com,RunInstances,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,c9cc59a6-1e0c-4c4b-a379-f9390efaa668,[{'instanceId': 'i-067e6a2bdaa30bbb3', 'imageId': 'ami-0bad1853e555b97b5', 'currentInstanceBootMode': 'legacy-bios', 'instanceState': {'code': 0, 'name': 'pending'}, 'privateDnsName': 'ip-10-0-1-10.ec2.internal', 'amiLaunchIndex': 0, 'productCodes': {}, 'instanceType': 't3.micro', 'launchTime': 1686932060000, 'placement': {'availabilityZone': 'us-east-1a', 'tenancy': 'default'}, 'monitoring': {'state': 'disabled'}, 'subnetId': 'subnet-0608765f5ae474b78', 'vpcId': 'vpc-07b00a1727207e1ff', 'privateIpAddress': '10.0.1.10', 'stateReason': {'code': 'pending', 'message': 'pending'}, 'architecture': 'x86_64', 'rootDeviceType': 'ebs', 'rootDeviceName': '/dev/xvda', 'blockDeviceMapping': {}, 'virtualizationType': 'hvm', 'hypervisor': 'xen', 'tagSet': {'items': [{'key': 'StratusRedTeam', 'value': 'true'}]}, 'clientToken': 'D6D5E155-D278-4208-8715-B25715732807', 'groupSet': {'items': [{'groupId': 'sg-044432788c2845f1b'}]}, 'sourceDestCheck': True, 'networkInterfaceSet': {'items': [{'networkInterfaceId': 'eni-092f3b409decb3ab4', 'subnetId': 'subnet-0608765f5ae474b78', 'vpcId': 'vpc-07b00a1727207e1ff', 'ownerId': '179704931439', 'status': 'in-use', 'macAddress': '0e:b3:40:0c:c0:5b', 'privateIpAddress': '10.0.1.10', 'sourceDestCheck': True, 'interfaceType': 'interface', 'groupSet': {'items': [{'groupId': 'sg-044432788c2845f1b'}]}, 'attachment': {'attachmentId': 'eni-attach-07496c9008db16802', 'deviceIndex': 0, 'networkCardIndex': 0, 'status': 'attaching', 'attachTime': 1686932060000, 'deleteOnTermination': False}, 'privateIpAddressesSet': {'item': [{'privateIpAddress': '10.0.1.10', 'primary': True}]}, 'ipv6AddressesSet': {}, 'tagSet': {}}]}, 'iamInstanceProfile': {'arn': 'arn:aws:iam::179704931439:instance-profile/stratus-red-team-usr-data-instance', 'id': 'AIPASTVZ7URX4LQL2WVOO'}, 'ebsOptimized': False, 'enaSupport': True, 'cpuOptions': {'coreCount': 1, 'threadsPerCore': 2}, 'capacityReservationSpecification': {'capacityReservationPreference': 'open'}, 'hibernationOptions': {'configured': False}, 'enclaveOptions': {'enabled': False}, 'metadataOptions': {'state': 'pending', 'httpTokens': 'optional', 'httpPutResponseHopLimit': 1, 'httpEndpoint': 'enabled', 'httpProtocolIpv4': 'enabled', 'httpProtocolIpv6': 'disabled', 'instanceMetadataTags': 'disabled'}, 'maintenanceOptions': {'autoRecovery': 'default'}, 'privateDnsNameOptions': {'hostnameType': 'ip-name', 'enableResourceNameDnsARecord': False, 'enableResourceNameDnsAAAARecord': False}}],r-0f1d9da11171d4355,179704931439.0,-,-,False,AwsApiCall,True,179704931439,Management,nan,[{'imageId': 'ami-0bad1853e555b97b5', 'minCount': 1, 'maxCount': 1}],<sensitiveDataRemoved>,t3.micro,False,False,False,D6D5E155-D278-4208-8715-B25715732807,[{'networkInterfaceId': 'eni-092f3b409decb3ab4', 'deviceIndex': 0, 'deleteOnTermination': False}],stratus-red-team-usr-data-instance,False,[{'resourceType': 'instance', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}]}],unlimited,False,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:17,"ec2.amazonaws.com,RunInstances,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,Client.InvalidParameterValue,Value (stratus-red-team-usr-data-instance) for parameter iamInstanceProfile.name is invalid. Invalid IAM Instance Profile name,,-,-,False,AwsApiCall,True,179704931439,Management,nan,[{'imageId': 'ami-0bad1853e555b97b5', 'minCount': 1, 'maxCount': 1}],<sensitiveDataRemoved>,t3.micro,False,False,False,3F160D5E-9AAA-4E73-AA17-EBAD1B076377,[{'networkInterfaceId': 'eni-092f3b409decb3ab4', 'deviceIndex': 0, 'deleteOnTermination': False}],stratus-red-team-usr-data-instance,False,[{'resourceType': 'instance', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}]}],unlimited,False,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:15,"ec2.amazonaws.com,RunInstances,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,Client.InvalidParameterValue,Value (stratus-red-team-usr-data-instance) for parameter iamInstanceProfile.name is invalid. Invalid IAM Instance Profile name,,-,-,False,AwsApiCall,True,179704931439,Management,nan,[{'imageId': 'ami-0bad1853e555b97b5', 'minCount': 1, 'maxCount': 1}],<sensitiveDataRemoved>,t3.micro,False,False,False,D05F763A-1A58-466E-99C2-073D3133D9FD,[{'networkInterfaceId': 'eni-092f3b409decb3ab4', 'deviceIndex': 0, 'deleteOnTermination': False}],stratus-red-team-usr-data-instance,False,[{'resourceType': 'instance', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}]}],unlimited,False,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:13,"ec2.amazonaws.com,CreateNatGateway,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,http://ec2.amazonaws.com/doc/2016-11-15/,public,subnet-0e5ed6872005289c8,[{'value': True, 'key': 'StratusRedTeam'}, {'value': 'stratus-red-team-usr-data-vpc-us-east-1a', 'key': 'Name'}],True,eipalloc-0e5520a244dfc7c85,associating,2023-06-16T16:14:13.000Z,vpc-07b00a1727207e1ff,nat-078ead23cac0f405a,pending,b643d241-5f82-43b1-b65f-c2f15d57a1c4,4D87A004-CF47-444A-B038-F7DBE2BF8FDA,-,-,False,AwsApiCall,True,179704931439,Management,nan,public,eipalloc-0e5520a244dfc7c85,subnet-0e5ed6872005289c8,4D87A004-CF47-444A-B038-F7DBE2BF8FDA,natgateway,1.0,[{'Value': True, 'tag': 1, 'Key': 'StratusRedTeam'}, {'Value': 'stratus-red-team-usr-data-vpc-us-east-1a', 'tag': 2, 'Key': 'Name'}],-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:13,"ec2.amazonaws.com,CreateRoute,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,218e5e53-c10d-41c6-9512-fea32917d81b,True,-,-,False,AwsApiCall,True,179704931439,Management,nan,rtb-0f7b8c9323b28b0ac,0.0.0.0/0,igw-0e8990d2a72a3d2a6,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:13,"ec2.amazonaws.com,AssociateRouteTable,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,8b965444-36de-4172-82c7-772c9dc36051,rtbassoc-0bb1e3ae4fffe9b2b,associated,-,-,False,AwsApiCall,True,179704931439,Management,nan,rtb-0f7b8c9323b28b0ac,subnet-0e5ed6872005289c8,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:13,"ec2.amazonaws.com,AssociateRouteTable,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,338db03e-1fdd-41d0-bf93-ee145a38ba61,rtbassoc-02174053be733a5c9,associated,-,-,False,AwsApiCall,True,179704931439,Management,nan,rtb-021734839d55b6d28,subnet-0608765f5ae474b78,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:13,"ec2.amazonaws.com,CreateNetworkInterface,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,41e68f6a-5808-4982-acf1-95b9bec431cc,eni-092f3b409decb3ab4,subnet-0608765f5ae474b78,vpc-07b00a1727207e1ff,us-east-1a,179704931439.0,AIDASTVZ7URXQQI3FNCKT,False,pending,0e:b3:40:0c:c0:5b,10.0.1.10,True,interface,[{'groupId': 'sg-044432788c2845f1b', 'groupName': 'default'}],[{'privateIpAddress': '10.0.1.10', 'primary': True}],[{'key': 'StratusRedTeam', 'value': 'true'}],-,-,False,AwsApiCall,True,179704931439,Management,nan,B56C7AD3-364E-47D2-B8C2-A97A2D8E44C4,[{'resourceType': 'network-interface', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}]}],subnet-0608765f5ae474b78,[{'privateIpAddress': '10.0.1.10', 'primary': True}],-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:12,"ec2.amazonaws.com,CreateInternetGateway,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,08781863-b14f-4697-a678-746537c57983,igw-0e8990d2a72a3d2a6,179704931439.0,[{'key': 'StratusRedTeam', 'value': 'true'}, {'key': 'Name', 'value': 'stratus-red-team-usr-data-vpc'}],-,-,False,AwsApiCall,True,179704931439,Management,nan,[{'resourceType': 'internet-gateway', 'tags': [{'key': 'StratusRedTeam', 'value': 'true'}, {'key': 'Name', 'value': 'stratus-red-team-usr-data-vpc'}]}],-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
1.08,2023-06-16,16:14:12,"ec2.amazonaws.com,CreateRouteTable,-,24.253.242.77,APN/1.0 HashiCorp/1.0 Terraform/1.1.2 (+https://www.terraform.io) terraform-provider-aws/3.76.1 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.44.157 (go1.19.3; windows; amd64) stratus-red-team_30c10cfa-12bc-4850-b1a9-805995cda813 HashiCorp-terraform-exec/0.17.3,nan,nan,241d3cc4-acae-4845-b3ef-df06c7239d5d,rtb-021734839d55b6d28,vpc-07b00a1727207e1ff,179704931439.0,[{'destinationCidrBlock': '10.0.0.0/16', 'gatewayId': 'local', 'state': 'active', 'origin': 'CreateRouteTable'}],[{'key': 'Name', 'value': 'stratus-red-team-usr-data-vpc-private-us-east-1a'}, {'key': 'StratusRedTeam', 'value': 'true'}],-,-,False,AwsApiCall,True,179704931439,Management,nan,[{'resourceType': 'route-table', 'tags': [{'key': 'Name', 'value': 'stratus-red-team-usr-data-vpc-private-us-east-1a'}, {'key': 'StratusRedTeam', 'value': 'true'}]}],vpc-07b00a1727207e1ff,-,nan,-,IAMUser,AIDASTVZ7URXQQI3FNCKT,arn:aws:iam::179704931439:user/mprerana,179704931439,AKIASTVZ7URXXSGSJ373,mprerana,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ec2.us-east-1.amazonaws.com"
